CROWNU,CROWN FEEDS (PVT) LTD.,,,,,,,,,,,,,,,,,
SEW100824,"DIST COLOMBO, SRI",120,115.422,5,07/15/22,08/31/22,6339715660,LONG,COLOMBO,GTRANS USA INC,COSCO,089W,0.000,0,91.935,4,08/13/22,10/13/22
"",LANKA,,,,,,,"BEACH,CA",,,KAOHSIUNG,,,,,,,
"",,,,,,,6341521040,LONG,COLOMBO,GTRANS USA INC,COSCO,077W,0.000,0,23.487,1,08/24/22,10/14/22
"",,,,,,,,"BEACH,CA",,,AMERICA,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,115.422,5,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
SSW092863D,"480M COLOMBO, SRI",100,104.065,4,04/01/22,05/15/22,6338207010,PRINCE,COLOMBO,SEATRADE,XIN RI ZHAO,338W,0.000,0,104.065,4,07/27/22,09/27/22
"",LANKA,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.065,4,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
SSW092863E,"480M COLOMBO, SRI",100,104.474,4,04/01/22,05/15/22,6338207010,PRINCE,COLOMBO,SEATRADE,XIN RI ZHAO,338W,0.000,0,104.474,4,07/27/22,09/27/22
"",LANKA,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.474,4,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
SSW092863F,"480M COLOMBO, SRI",100,104.028,4,04/01/22,05/15/22,6337717570,"VANCOUVER,",COLOMBO,GTRANS USA INC,COSCO ASIA,084S,0.000,0,51.973,2,07/28/22,10/05/22
"",LANKA,,,,,,,BC,,,,,,,,,,
"",,,,,,,6338207010,PRINCE,COLOMBO,SEATRADE,XIN RI ZHAO,338W,0.000,0,52.055,2,07/27/22,09/27/22
"",,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.028,4,,
"",,,,,,,,,,,,,,,,,,
SVSECO,SVS ENTERPRISES,,,,,,,,,,,,,,,,,
SSW093283,"480M COLOMBO, SRI",200,182.248,7,04/01/22,04/30/22,6339713440,PRINCE,COLOMBO,SEATRADE,XIN YING KOU,216W,0.000,0,182.248,7,08/14/22,10/13/22
"",LANKA,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,182.248,7,,
"",,,,,,,,,,,,,,,,,,
SVSECO,SVS ENTERPRISES,,,,,,,,,,,,,,,,,
SSW093617,"480M COLOMBO, SRI",200,182.166,7,04/01/22,04/30/22,6339713640,PRINCE,COLOMBO,SEATRADE,XIN YING KOU,216W,0.000,0,182.166,7,08/10/22,09/27/22
"",LANKA,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,182.166,7,,
"",,,,,,,,,,,,,,,,,,
SVSECO,SVS ENTERPRISES,,,,,,,,,,,,,,,,,
SSW094275,"480M COLOMBO, SRI",300,286.230,11,04/01/22,05/15/22,6338206890,"SAVANNAH,G",COLOMBO,SEATRADE,COSCO,082N,0.000,0,26.245,1,08/17/22,10/07/22
